,Auteur,Identifiant auteur,Titre,Directeur de these,Directeur de these (nom prenom),Identifiant directeur,Etablissement de soutenance,Identifiant etablissement,Discipline,Statut,Date de premiere inscription en doctorat,Date de soutenance,Year,Langue de la these,Identifiant de la these,Accessible en ligne,Publication dans theses.fr,Mise a jour dans theses.fr,Discipline_prÃ©di,Genre,etablissement_rec,Langue_rec
2340,Awa Sam (Lefebvre),,La securite des passagers dans le transport maritime.,"Martin Ndende,Abdoullah Cisse","Ndende Martin,Cisse Abdoullah",80833659,Nantes,26403447,Droit prive,enCours,01-10-04,04-11-11,2011.0,na,s67173,non,26-09-11,22-11-11,Droit et Science Politique,female,Université de Nantes,NA
2341,Basma Mezghanni (Sellami),,"Gouvernement d'entreprise,investissement dans les activites de recherche, developpement et performance","Isabelle Martinez,Ridha Shabou","Martinez Isabelle,Shabou Ridha",na,Poitiers,26403765,Sciences de gestion,enCours,06-02-07,,,na,s67180,non,26-09-11,22-01-15,Economie Gestion,female,Université de Poitiers,NA
2342,Emilia Carloni (Surmonte),,"Antigone,""la"" Sphinx d'Henry Bauchau. Les enjeux d'une creation","Philippe Forest,Anna-maria Laserra","Forest Philippe,Laserra Anna-maria",30092760,Nantes,26403447,Litteratures francaise et francophone,enCours,31-01-08,19-03-10,2010.0,na,s67183,non,26-09-11,11-06-12,Langues et Litteratures,female,Université de Nantes,NA
2343,Giada Tognazzi,,La voix d'Hymenee. Aspects de la performance nuptiale grecque,"Claude Calame,Simone Beta","Calame Claude,Beta Simone",26762587,"Paris, EHESS",26374889,Histoire,enCours,07-03-07,22-05-09,2009.0,na,s67226,non,26-09-11,09-03-12,SHS,female,EHESS,NA
2344,Virginie Nkameni deuffi (Tchamwock),,Du devoir de collaboration dans les contrats : Essai d'une theorie juridique. Du Code Civil au droit uniforme africain.,"Francois Collart Dutilleul,H. d. Modi koko bebey","Collart Dutilleul Francois,Modi koko bebey H. d.",29085306,Nantes,26403447,Droit prive,enCours,01-10-08,30-01-15,2015.0,na,s67235,non,26-09-11,04-04-16,Droit et Science Politique,female,Université de Nantes,NA
2345,Yvette Riviere (Ballerat),,Carson mc cullers (1917-1967).,Michel Bandry,Bandry Michel,28731190,Montpellier 3,26404702,Etudes nord-americaines,enCours,01-01-80,,,na,s66395,non,26-09-11,31-05-13,Biologie,female,Université Paul-Valéry - Montpellier 3,NA
2346,Henri Madeleine,,La notion de public en espagne entre 1530 et 1620.,Edmond Cros,Cros Edmond,02680607X,Montpellier 3,26404702,Etudes hispaniques,enCours,01-05-81,,,na,s66398,non,26-09-11,31-05-13,Biologie,male,Université Paul-Valéry - Montpellier 3,NA
2347,Jean-pierre Donnadieu,,1789 en languedoc : l'esprit public,Genevieve Gavignaud-Fontaine,Gavignaud-Fontaine Genevieve,31581269,Montpellier 3,26404702,Histoire,enCours,01-02-81,,,na,s66460,non,26-09-11,05-04-16,SHS,male,Université Paul-Valéry - Montpellier 3,NA
2348,Armand-guy Zounguere-sokambi,,Les reseaux du dialogue multilateral : l'exemple du partenariat ue/afrique.,Olivier Nay,Nay Olivier,57144044,Lille 2,26404389,Science politique,enCours,01-10-09,,,na,s65861,non,26-09-11,22-01-15,Droit et Science Politique,male,Université de Lille,NA
2349,Catherine Tourrolier,,"Autonomie et dependance, contraintes et adhesion au projet : des paradoxes qui traversent et sustentent l'accompagnement socio-educatif des personnes en difficultes.",Jean-Bernard Paturet,Paturet Jean-Bernard,30075017,Montpellier 3,26404702,Sciences de l'education,enCours,13-10-09,,,na,s62586,non,26-09-11,04-04-16,Biologie,female,Université Paul-Valéry - Montpellier 3,NA
2350,Jean-marie Triacca,,"Les relations de la lorraine ducale avec rome et l'italie dans les domaines : politique et diplomatique, economique et financier, culturel, religieux, et artistique, sous le regne du duc charles iii le grand (1559-1608).",Philippe Martin,Martin Philippe,na,Universite de Lorraine,157040569,Histoire moderne et contemporaine,enCours,21-12-09,,,na,s62594,non,26-09-11,28-06-13,SHS,male,Université de Lorraine,NA
2351,Raquel Tomas pellicer,,L'articulation regard/langage dans la phase productive de l'interaction casuelle.,Michel Musiol,Musiol Michel,52844528,Universite de Lorraine,157040569,Psychologie,enCours,05-01-10,,,na,s62597,non,26-09-11,28-06-13,Psychologie,female,Université de Lorraine,NA
2352,Edouard cocou Tchiakpe,,"Les medias et l'environnement depuis 1990 : sensibilisation, information et preconisation. le cas particulier du benin.",Francis Balle,Balle Francis,26702606,Paris 2,26403145,Sciences de l'information et de la communication,enCours,10-02-10,,,na,s62619,non,26-09-11,13-02-12,SHS,male,Université Panthéon-Assas,NA
2353,Riad Toumi,,Collectivites locales et marginalites urbaines (achwayates) en algerie : le cas de la ville de skikda,"Aziz Jellab,Smain Guira","Jellab Aziz,Guira Smain",35064935,Lille 3,26404524,Sociologie,enCours,01-10-09,,,na,s62638,non,26-09-11,05-04-16,SHS,male,Université de Lille,NA
2354,Ousmane Tamboura,,Les collectivites locales burkinabees face aux nouveaux defis du management territorial : methodes de gestion et dynamique de developpement local,Yves Jean,Jean Yves,na,Poitiers,26403765,Geographie,enCours,08-10-09,,,na,s62645,non,26-09-11,07-02-12,SHS,unknown,Université de Poitiers,NA
2355,Frederic Vienne,,Creation et projets de creation de dioceses dans le nord et le pas-de-calais xixe-xxe siecle.,Xavier Boniface,Boniface Xavier,na,Littoral,30969379,Histoire,enCours,01-10-10,,,na,s64247,non,26-09-11,22-01-15,SHS,male,Université du Littoral Côte dOpale,NA
2356,Katia Van der Meulen,,Analyse des parcours linguistiques des migrants signataires du contrat accueil et integration,Marinette Matthey,Matthey Marinette,34857338,Grenoble,30327202,Sciences du langage,enCours,31-01-07,05-12-12,2012.0,na,s63614,non,26-09-11,04-04-16,Langues et Litteratures,female,Université Grenoble Alpes,NA
2357,Yazdan Valinejad Veliani,,Les alternatives aux poursuites et les garanties des justiciables,Jean-paul Jean,Jean Jean-paul,na,Poitiers,26403765,Droit penal et sciences criminelles,enCours,22-10-07,,,na,s63663,non,26-09-11,09-05-12,Droit et Science Politique,unknown,Université de Poitiers,NA
2358,Jean-Dominique Voisin,,La preuve contre soi-meme,Philippe Conte,Conte Philippe,30246016,Paris 2,26403145,Droit prive,enCours,25-10-07,,,na,s63664,non,26-09-11,12-03-15,Droit et Science Politique,male,Université Panthéon-Assas,NA
2359,Antoine Vacavant,,Geometrie discrete sur grilles irregulieres isothetiques,"Laure Tougne,David Coeurjolly","Tougne Laure,Coeurjolly David","696,553,080",Lyon 2,02640334X,Informatique,enCours,01-09-08,04-12-08,2008.0,na,s63826,non,26-09-11,30-03-16,Informatique,male,Université Lumière - Lyon 2,NA
2360,Didier Vidal,,Le pouvoir de soigner et les mecanismes de la guerison : representation du puvoir et pouvoir de la representation. La relation du soin de l'ethnopsychiatrie a l'ethnopscinema,Jeanlouis Olive,Olive Jeanlouis,na,Perpignan,26403692,Ethnologie et Anthropologie,enCours,27-01-09,28-11-11,2011.0,na,s63884,non,26-09-11,02-12-11,SHS,male,Université de Perpignan Via Domitia,NA
2361,Rita Vallot (Peix),,Bi/pluralisme avec le catalan a l'ecole de la Catalogne du Nord,"Joan Peytavi Deixona,Luci Nussbaum","Peytavi Deixona Joan,Nussbaum Luci",na,Perpignan,26403692,Etudes catalanes et transfrontalieres,enCours,28-01-09,12-12-11,2011.0,na,s63885,non,26-09-11,12-12-11,Biologie,female,Université de Perpignan Via Domitia,NA
2362,Diane carlyne Tongoue (Wagoue tchokotcheu),,L'oralite en procedure civile.,"Philippe Briand,Joseph Fometeu","Briand Philippe,Fometeu Joseph",na,Nantes,26403447,Droit prive,enCours,01-01-11,,,na,s64905,non,26-09-11,04-04-16,Droit et Science Politique,female,Université de Nantes,NA
2363,Jimmy Vilalta,,Elements de reflexion autour du devenir des monuments religieux depuis la loi de separation de l eglise et de l etat en 1905 jusqu a nos jours .,Christian Amalvi,Amalvi Christian,26683873,Montpellier 3,26404702,Histoire moderne et contemporaine,enCours,12-10-10,,,na,s64325,non,26-09-11,22-01-15,SHS,male,Université Paul-Valéry - Montpellier 3,NA
2364,Aurelie Vignozzi,,L'affaire du carmel d'auschwitz et les relations judeo-chretiennes,Carol Iancu,Iancu Carol,na,Montpellier 3,26404702,Histoire des religions,enCours,18-10-10,,,na,s64335,non,26-09-11,21-01-15,SHS,female,Université Paul-Valéry - Montpellier 3,NA
2365,Santiago Venturini,,La traduction de poesie francaise dans des revues argentines (1997-2007),Jean Lecointe,Lecointe Jean,na,Poitiers,26403765,Litteratures et civilisations comparees,enCours,07-01-11,,,na,s64342,non,26-09-11,22-01-15,Langues et Litteratures,male,Université de Poitiers,NA
2366,Silvere Zearo,,Les oppositions en procedure civile francaise,Claude Ophele,Ophele Claude,83624902,Poitiers,26403765,Droit prive,enCours,01-01-05,,,na,s65373,non,26-09-11,05-04-16,Droit et Science Politique,unknown,Université de Poitiers,NA
2367,Guliya Xialifu,,Les parcs naturels en chine : le cas de la zone naturelle de kanas (chine).,Guillaume Giroir,Giroir Guillaume,59716347,Orleans,26402971,Geographie,enCours,01-12-04,,,na,s64933,non,26-09-11,22-01-15,SHS,unknown,Université d'Orléans,NA
2368,Fangfang Xiong,,La societe rurale et l'impot dans l'ouest de la france a l'epoque moderne. comparaison avec les campagnes chinoises contemporaines,"Annie Antoine,Rong Xiang","Antoine Annie,Xiang Rong",34509186,Rennes 2,54447658,Histoire,enCours,01-10-05,,,na,s64951,non,26-09-11,22-01-15,SHS,unknown,Université Rennes 2,NA
2369,Dongchun Papineschi (Xia),,"Lettres et examens mandarinaux en chine-recherches sur la societe chinoise et les lettres a la fin du xixeme et au debut du xxeme siecles, a partir des journaux de liu dapeng et zhu zhisan",Patrick Doan,Doan Patrick,55384404,Montpellier 3,26404702,Etudes chinoises,enCours,14-10-08,,,na,s64968,non,26-09-11,21-01-15,Biologie,unknown,Université Paul-Valéry - Montpellier 3,NA
2370,Zairong Xiang,,Contested Gendering : decolonial Readings of Snakewoman Deities and their Reception,"Ingrid Hotz-Davies,Ingrid Hotz-Davies","Hotz-Davies Ingrid,Hotz-Davies Ingrid","138,760,195",Perpignan,26403692,Litterature generale et comparee,enCours,28-10-10,27-09-13,2013.0,na,s64986,non,26-09-11,12-04-16,Langues et Litteratures,unknown,Université de Perpignan Via Domitia,NA
2371,Jianyu Yu,,Effet de politique commerciale sur les marches internationaux en concurrence imparfaite.,Vincent Requillart,Requillart Vincent,35826886,Toulouse 1,26404354,Sciences economiques,enCours,01-11-04,,,na,s64999,non,26-09-11,22-01-15,Economie Gestion,unknown,Université Toulouse Capitole,NA
2372,Thi dan tan Pham,,L'audit interne dans les etablissements de l'espace europeen d'enseignement superieur.,Alain Antoine,Antoine Alain,na,Universite de Lorraine,157040569,Sciences de gestion,enCours,01-12-05,,,na,s66034,non,26-09-11,28-06-13,Economie Gestion,mostly_female,Université de Lorraine,NA
2373,Michelle Makaia (Zenon),, Pour une contribution a des conditions de reussite dune action collective organisee. Le cas de Noel kakado en Guadeloupe .,Pierre Teisserenc,Teisserenc Pierre,na,Paris 13,02640463X,Sociologie,enCours,01-11-03,24-04-12,2012.0,na,s65420,non,26-09-11,10-09-12,SHS,female,Université Sorbonne Paris Nord,NA
2374,Agata Zarzycka,,World of darkness. les jeux de role americains comme espace multi-dimensionnel d'interaction entre theorie et pratique litteraires.,Laurent Lepaludier,Lepaludier Laurent,69641455,Angers,26402920,Etudes nord-americaines,enCours,01-02-05,,,na,s65461,non,26-09-11,22-01-15,Biologie,female,Université d'Angers,NA
2375,Jean-claude Tavera,,Energie electrique residentielle : le droit francais face aux principes concurrentiels communautaires,Marie beatrice Lahorgue,Lahorgue Marie beatrice,na,Poitiers,26403765,Droit public,enCours,24-11-09,,,na,s62694,non,26-09-11,09-05-12,Droit et Science Politique,male,Université de Poitiers,NA
2376,Frederic Untereiner,,Anthropisation du plateau du barrois au moyen age.,Patrick Corbet,Corbet Patrick,28740831,Universite de Lorraine,157040569,Histoire medievale,enCours,15-12-06,,,na,s63145,non,26-09-11,28-06-13,SHS,male,Université de Lorraine,NA
2377,Boubacar Traore,,Recherche et application d'une methodologie de partage d'information pour l'innovation.,Nicolas Moinet,Moinet Nicolas,na,Poitiers,26403765,Sciences de gestion,enCours,01-09-09,,,na,s62743,non,26-09-11,22-01-15,Economie Gestion,unknown,Université de Poitiers,NA
2378,Franck Tchicaya,,Le statut du conjoint isole (XIX-XXe siecles),Catherine Lecomte,Lecomte Catherine,na,Poitiers,26403765,Histoire du droit et des institutions,enCours,23-12-09,,,na,s62752,non,26-09-11,09-05-12,Droit et Science Politique,male,Université de Poitiers,NA
2379,Adolfo fernando Vera penaloza,,L'image politique : art et disparition politique en Amerique Latine.,Jean-Louis Deotte,Deotte Jean-Louis,29288800,Paris 8,26403552,"Philosophie (metaphysique, epistemologie, esthetique)",enCours,06-11-07,31-05-12,2012.0,na,s63908,non,26-09-11,04-04-16,SHS,male,Université Paris 8 - Vincennes - Saint-Denis,NA
2380,Sylvie Vincent,,La representation spatiale et temporelle comme enjeu d'une quete identitaire chez karen blixen et ngugi wa thiongo,Claire Omhovere,Omhovere Claire,113819137,Montpellier 3,26404702,Etudes anglophones,enCours,14-10-08,,,na,s63919,non,26-09-11,05-04-16,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
2381,Julien Urruty,,Les effets sectoriels des distorsions de changes : le cas des pays du sud et de l'est de la mediterrannee,Serge Rey,Rey Serge,na,Pau,26403668,Sciences economiques,enCours,13-11-08,,,na,s63164,non,26-09-11,22-01-15,Economie Gestion,male,Université de Pau et des Pays de l'Adour,NA
2382,Paul Ugenti,,De l'ethique d'entreprise a l'esthetique de la production,Stephane Onnee,Onnee Stephane,130813931,Orleans,26402971,Sciences de gestion,enCours,15-12-08,,,na,s63171,non,26-09-11,05-04-16,Economie Gestion,male,Université d'Orléans,NA
2383,Sabrina Urbani,,L'immigration piemontaise en france depuis 1861.,Isabelle Felici,Felici Isabelle,05774923X,Montpellier 3,26404702,Etudes italiennes,enCours,07-10-10,,,na,s63210,non,26-09-11,24-04-12,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
2384,Stefano Vicari,,"Les representations de la langue francaise. Attitudes, prediscours, questions de confiance",Marie-Anne Paveau,Paveau Marie-Anne,34505024,Paris 13,02640463X,Sciences du langage,enCours,14-04-10,07-07-11,2011.0,na,s64376,non,26-09-11,04-04-16,Langues et Litteratures,male,Université Sorbonne Paris Nord,NA
2385,Marie clemence Vellas,,Immobilier de loisirs et droit du tourisme,Matthieu Poumarede,Poumarede Matthieu,76624226,Toulouse 1,26404354,Droit prive,enCours,01-11-09,,,na,s64006,non,26-09-11,05-04-16,Droit et Science Politique,female,Université Toulouse Capitole,NA
2386,Rie Yoshimura,,"Le clown et la musique des avant-gardes francaises, italiennes, allemandes et sovietique.",Herve Lacombe,Lacombe Herve,na,Rennes 2,54447658,Musique et musicologie,enCours,01-11-04,,,na,s65033,non,26-09-11,22-01-15,SHS,female,Université Rennes 2,NA
2387,Arnaud Ybert,,Evolution technique et stylistique de la voute d'ogives en Picardie de 1140 a 1300.,Philippe Racinet,Racinet Philippe,27087417,Amiens,26403714,Histoire de l'art,enCours,01-09-05,05-06-13,2013.0,na,s65041,non,26-09-11,20-06-13,SHS,male,Université de Picardie Jules-Verne,NA
2388,Alexander klaus Wagner,,L'interaction strategique en environnement risque,Nicolas Treich,Treich Nicolas,na,Toulouse 1,26404354,Sciences economiques,enCours,01-11-04,,,na,s64403,non,26-09-11,22-01-15,Economie Gestion,male,Université Toulouse Capitole,NA
2389,Vera Waksman,,"Jean Jacques Rousseau : le legislateur, le philosophe et les conditions de la liberte.",Patrice Vermeren,Vermeren Patrice,28251873,Paris 8,26403552,"Philosophie (metaphysique, epistemologie, esthetique)",enCours,01-05-03,20-11-12,2012.0,na,s64411,non,26-09-11,04-04-16,SHS,female,Université Paris 8 - Vincennes - Saint-Denis,NA
2390,Emilie Walezak,,"Histoire et fiction dans les romans de peter ackroyd, antonia susan byatt et jeanette winterson.",Josiane Paccaud-Huguet,Paccaud-Huguet Josiane,30767369,Lyon 2,02640334X,Etudes anglophones,enCours,01-01-05,10-10-08,2008.0,na,s64416,non,26-09-11,30-03-16,Langues et Litteratures,female,Université Lumière - Lyon 2,NA
2391,Patrick Wagnon,,"La profusion du developpement personnel et des neo-therapies alternatives. de l'attraction sociale et alchimie therapeutique, dans la transformation du soi. a la tentation communautaire et ses signes cindynogenes, dans la recherche d'une nouvelle socialite collective. vers une complexite de processus et methodes dans la recherche ideale de nouveaux paradigmes ou d'un reenchantement du monde ?",Patrick Tacussel,Tacussel Patrick,28291433,Montpellier 3,26404702,Sociologie,enCours,01-03-05,,,na,s64426,non,26-09-11,22-01-15,SHS,male,Université Paul-Valéry - Montpellier 3,NA
2392,Anna Zakharova,,"Fedor sologub (1863-1927), poete et traducteur de paul verlaine en russie.",Alain Vuillemin,Vuillemin Alain,na,Artois,34634894,Litteratures et civilisations comparees,enCours,01-10-05,,,na,s65470,non,26-09-11,22-01-15,Langues et Litteratures,female,Université d'Artois,NA
2393,Xian Zhang,,La gestion des reserves de change en asie,Christian Aubin,Aubin Christian,50060627,Poitiers,26403765,Sciences economiques,enCours,29-09-06,,,na,s65517,non,26-09-11,22-01-15,Economie Gestion,andy,Université de Poitiers,NA
2394,Parissa Yadegari,,L'etude des comportements verbaux et non-verbaux des sujets apprenants iraniens dans leurs strategies d'apprentissage du fle.,Laurent Masegeta Kashema Bin Muzigwa,Kashema Bin Muzigwa Laurent Masegeta,60710500,Strasbourg,131056549,Sciences du langage,enCours,01-10-05,09-12-11,2011.0,na,s65051,non,26-09-11,04-04-16,Langues et Litteratures,female,Université de Strasbourg,NA
2395,Chunhong Yang,,Les attentes des touristes chinois en france.,Jacques Orsoni,Orsoni Jacques,27053741,Corte,29473284,Sciences de gestion,enCours,01-10-05,,,na,s65063,non,26-09-11,22-01-15,Economie Gestion,unknown,Université de Corse Pasquale Paoli,NA
2396,Serge nicolas Yazigi,,Regeneration urbaine et historique contemporaine en mediterranee orientale : une approche comparative.,Philippe Chassaigne,Chassaigne Philippe,34681868,Tours,26404478,Histoire,enCours,01-10-05,,,na,s65077,non,26-09-11,22-01-15,SHS,male,Université de Tours,NA
2397,Fei Yan,,Les meilleures strategies pour reussir les operations de fusion-acquisition,Pierre Le Masne,Le Masne Pierre,33949514,Poitiers,26403765,Sciences economiques,enCours,14-12-06,,,na,s65080,non,26-09-11,05-04-16,Economie Gestion,andy,Université de Poitiers,NA
2398,Stephanie Young,,Ruptures et continuite dans la litterature neo-hellenique inspiree par 1922,Marie-Paule Masson-Vincourt,Masson-Vincourt Marie-Paule,32942060,Montpellier 3,26404702,Etudes grecques et neo-helleniques,enCours,20-10-06,,,na,s65082,non,26-09-11,04-04-16,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
2399,Nadege Mercadier (Yonan Flan),,Essai sur l'intuitus persona en droit fiscal,Emmanuel Kornprobst,Kornprobst Emmanuel,59255978,Rouen,26403919,Droit prive,enCours,17-01-07,07-12-12,2012.0,na,s65087,non,26-09-11,26-11-15,Droit et Science Politique,unknown,Université de Rouen Normandie,NA
2400,Mengchao Yang,,La reception par les femmes chinoises des nouveaux stereotypes de la beaute feminine vehicules par les medias.,Alain Calmes,Calmes Alain,28312864,Rennes 2,54447658,Sciences de l'information et de la communication,enCours,10-11-06,,,na,s65098,non,26-09-11,22-01-15,SHS,unknown,Université Rennes 2,NA
2401,Chunhong Yang,,Les attentes des touristes chinois en corse.,"Jacques Orsoni,Jean-Marie Peretti","Orsoni Jacques,Peretti Jean-Marie","270,537,410",Corte,29473284,Sciences de gestion,enCours,18-10-05,,,na,s65122,non,26-09-11,04-04-16,Economie Gestion,unknown,Université de Corse Pasquale Paoli,NA
2402,Clara Fougerol,,Representation du livre et de la lecture dans l'art au siecle des lumieres.,Annie Charon,Charon Annie,02705800X,"Paris, Ecole nationale des chartes",26375052,Histoire moderne et contemporaine,enCours,15-12-10,,,na,s66038,non,26-09-11,12-04-16,SHS,female,Université Paris sciences et lettres,NA
2403,Marguerite Zind,,Influence de l'alimentation du statut ponderal et de l'entrainement en endurance sur les reponses du systeme antioxydant a l'exercice maximal chez les adolescents libanais.,Arlette Delamarche,Delamarche Arlette,35711949,Rennes 2,54447658,Sciences du sport (staps),enCours,10-11-06,,,na,s65557,non,26-09-11,05-04-16,Poubelle,female,Université Rennes 2,NA
2404,Fengxia Zhang,,Etude du comportement des touristes chinois en chine,Philippe Violier,Violier Philippe,51621770,Angers,26402920,Geographie,enCours,01-12-06,,,na,s65567,non,26-09-11,22-01-15,SHS,unknown,Université d'Angers,NA
2405,Thi quynh anh Vo,,Impacts de la reglementation du capital sur le comportement des banques.,Jean-Charles Rochet,Rochet Jean-Charles,03062620X,Toulouse 1,26404354,Sciences economiques,enCours,01-11-04,,,na,s63226,non,26-09-11,04-04-16,Economie Gestion,mostly_female,Université Toulouse Capitole,NA
2406,Smadar Haberman (Levy),,"Le double, identite empruntee dans l'impasse le lien entre l'impasse relationelle et le double en tant que supleant a un deuil non elabore.",Ephraim Riveline,Riveline Ephraim,na,Paris 8,26403552,Etudes juives et hebraiques,enCours,01-10-05,01-12-11,2011.0,na,s67310,non,07-10-11,02-04-12,"Materiaux, Milieux et Chimie",female,Université Paris 8 - Vincennes - Saint-Denis,NA
2407,Dorothee Perrouin-Verbe,,Responsabilite delictuelle et contrat,Yves Lequette,Lequette Yves,26984520,Paris 2,26403145,Droit prive,enCours,03-10-11,,,na,s67348,non,14-10-11,13-03-15,Droit et Science Politique,female,Université Panthéon-Assas,NA
2408,Xinning Jiang,,La politique nucleaire europeenne (aspects juridiques et extra-juridiques) : de la surete a la securite nucleaire.,Claude Blumann,Blumann Claude,26733811,Paris 2,26403145,Droit communautaire,enCours,13-10-11,,,na,s67359,non,14-10-11,04-04-16,Droit et Science Politique,unknown,Université Panthéon-Assas,NA
2409,Helene Guiziou,,Le droit de la responsabilite civile a l'epreuve des regimes speciaux,Jean-Sebastien Borghetti,Borghetti Jean-Sebastien,80796249,Paris 2,26403145,Droit prive,enCours,29-09-11,,,na,s67336,non,17-10-11,09-03-15,Droit et Science Politique,female,Université Panthéon-Assas,NA
2410,Marc Antao,,Les prises de participations en droit francais.,Thierry Bonneau,Bonneau Thierry,30105471,Paris 2,26403145,Droit prive,enCours,17-10-11,,,na,s67394,non,18-10-11,18-10-11,Droit et Science Politique,male,Université Panthéon-Assas,NA
2411,Nadir Biout,,La place de la possession immobiliere en droit droit positif algerien,Michel Grimaldi,Grimaldi Michel,29837685,Paris 2,26403145,Droit prive,enCours,13-01-11,,,na,s25123,non,18-10-11,16-12-11,Droit et Science Politique,male,Université Panthéon-Assas,NA
2412,Mathieu Garnesson,,L'analyse economique des biens en droit public,Jean-Jacques Bienvenu,Bienvenu Jean-Jacques,28926374,Paris 2,26403145,Droit public,enCours,19-10-11,,,na,s67448,non,20-10-11,04-05-15,Droit et Science Politique,male,Université Panthéon-Assas,NA
2413,Myriam Daher,,Les conflits d'interets en matiere bancaire et financiere,Herve Synvet,Synvet Herve,60753722,Paris 2,26403145,Droit prive,enCours,20-10-11,,,na,s67454,non,21-10-11,16-03-15,Droit et Science Politique,female,Université Panthéon-Assas,NA
2414,Charlotte Servant,,Les defis a l'exclusivite etatique du titre territorial - le titre territorial autochtone,Carlo Santulli,Santulli Carlo,57455325,Paris 2,26403145,Droit international,enCours,21-10-11,,,na,s67472,non,24-10-11,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
2415,Jonathan Bourguignon,,Les competences de l'Etat et les evolutions contemporaines de la criminalite transnationale,Gerard Cahin,Cahin Gerard,60289376,Paris 2,26403145,Droit international,enCours,24-10-11,,,na,s67490,non,25-10-11,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
2416,Myriam Epelbaum,,Faut-il unifier le droit des offres publiques dans l'Union Europeenne?,Herve Synvet,Synvet Herve,60753722,Paris 2,26403145,Droit des affaires,enCours,25-10-11,,,na,s67495,non,26-10-11,16-03-15,Droit et Science Politique,female,Université Panthéon-Assas,NA
2417,Lidia Sutormina,,Le cadre juridique des relations entre lUnion europeenne et la Russie en matiere de gestion des flux migratoires,Emmanuel Decaux,Decaux Emmanuel,26816326,Paris 2,26403145,Droit international,enCours,28-10-11,,,na,s67521,non,31-10-11,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
2418,Lijun Jiang,,"Le controle de l'emission des titres et l'operation de titrisation : etude comparative des droits chinois, francais et americains",Michel Grimaldi,Grimaldi Michel,29837685,Paris 2,26403145,Droit prive,enCours,28-10-11,,,na,s67524,non,31-10-11,14-12-11,Droit et Science Politique,unknown,Université Panthéon-Assas,NA
2419,Hui Li,,L'analyse du droit et de la pratique de societes off-shore dans les relations commerciales franco-chinoises,Michel Germain,Germain Michel,30044456,Paris 2,26403145,Droit prive,enCours,10-11-11,,,na,s67565,non,14-11-11,16-12-11,Droit et Science Politique,andy,Université Panthéon-Assas,NA
2420,Emilie Hatte,,La Cour Supreme du Royaume-Uni et le nouvel equilibre institutionnel,Philippe Lauvaux,Lauvaux Philippe,28308379,Paris 2,26403145,Droit public,enCours,15-11-11,,,na,s67591,non,15-11-11,16-01-12,Droit et Science Politique,female,Université Panthéon-Assas,NA
2421,Artem Soloshchenkov,,La protection juridique des secteurs strategiques au regard des regles de concurrence : l'exemple de l'energie,Martine Lombard,Lombard Martine,35322896,Paris 2,26403145,Droit public,enCours,16-11-11,,,na,s67596,non,16-11-11,16-01-12,Droit et Science Politique,male,Université Panthéon-Assas,NA
2422,Radmila Chapuis (Pavlenko),,Noms de domaine et modes alternatifs de resolution des litiges.,Jean-Christophe Galloux,Galloux Jean-Christophe,68751699,Paris 2,26403145,Droit prive,enCours,17-11-11,,,na,s67626,non,17-11-11,22-09-14,Droit et Science Politique,female,Université Panthéon-Assas,NA
2423,Sylvie Drion (Pellerin),,"De la Goutte au Calvados, l'etonnant parcours d'un produit d'appelation",Michel Lescure,Lescure Michel,33875898,Paris 10,26403587,Histoire,enCours,01-10-99,19-01-12,2012.0,na,s67633,non,18-11-11,03-05-12,SHS,female,Université Paris Nanterre,NA
2424,Mohamed Abdennadher,,Detection des n-grammes impossibles dans les modeles de langage statistiques pour la traduction automatique,Kamel Smaili,Smaili Kamel,na,Universite de Lorraine,157040569,Informatique,enCours,10-06-11,,,na,s67642,non,18-11-11,28-06-13,Informatique,male,Université de Lorraine,NA
2425,Asmahan Benabbou,,Reconnaissance et execution des decisions etrangeres en droit de Pays Arabes,Georges Khairallah,Khairallah Georges,60563834,Paris 2,26403145,Droit international,enCours,18-11-11,,,na,s67645,non,18-11-11,04-04-16,Droit et Science Politique,unknown,Université Panthéon-Assas,NA
2426,Modibo Sidibe,,"Structural empirical models of spatial inequalities : housing choices, policies and generational consequences.",Florence Goffette.Nagot,Goffette.Nagot Florence,na,Lyon 2,02640334X,Sciences economiques,enCours,01-10-08,05-12-11,2011.0,na,s67653,non,21-11-11,11-03-13,Economie Gestion,unknown,Université Lumière - Lyon 2,NA
2427,Loeiz Perrot,,"Etude comparative de la publicite fonciere en droit francais, allemand et japonais",Philippe Thery,Thery Philippe,29405688,Paris 2,26403145,Droit prive,enCours,21-11-11,,,na,s67654,non,21-11-11,16-03-15,Droit et Science Politique,unknown,Université Panthéon-Assas,NA
2428,Caroline Tixier,,"L'emergence du concept de ""solidarisme"". Sous Leon Bourgeois, la Chambre des Deputes comme enceinte doctrinale inspiratrice de la creation de la Societe des Nations.",Philippe Raynaud,Raynaud Philippe,28317068,Paris 2,26403145,Science politique,enCours,23-11-11,,,na,s67700,non,23-11-11,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
